"Accession,EXP-Int-PS50,EXP-Int-Negative,CK1-¦Á-amylase,CK2-Pepsin,CK3-Mucin pH2,CK3-Pancreatin"
"F6PWF7,0,0,0,0,0,0"
"F1ST01,0,0,0,0,0,0"
"F2Z565,0,0,0,0,0,0"
"Q5XLD3,0,0,0,0,0,0"
"A0A286ZYZ5,0,0,0,0,0,0"
"A0A287BD05,0,0,0,0,0,0"
"P28839,0,0,0,0,0,0"
"A1XQV4,0,0,0,0,0,0"
"F1RPA7,0,0,0,0,0,0"
"Q9GMB0,0,0,0,0,0,0"
"F1RW28,0,0,0,0,0,0"
"Q2YGT9,0,0,0,0,0,0"
"A0A480P2S5,0,0,0,0,0,0"
"Q0Z8U2,0,0,0,0,0,0"
"A0A4X1TRK5,0,0,0,0,0,0"
"A0A4X1VNN9,0,0,0,0,0,0"
"A0A5G2QD86,0,0,0,0,0,0"
"A0A4X1U253,0,0,0,0,0,0"
"A0A480NQT2,0,0,0,0,0,0"
"A0A4X1SHD5,0,0,0,0,0,0"
"F1SM56,0,0,0,0,0,0"
"O19063,0,0,0,0,0,0"
"P22412,0,0,0,0,0,0"
"A0A4X1TJA8,0,0,0,0,0,0"
"A0A8W4FC15,0,0,0,0,0,0"
"A0A287AEW5,0,0,0,0,0,0"
"A0A287AT18,0,0,0,0,0,0"
"A0A8D0MLF8,0,0,0,0,0,0"
"A0A8W4FHN2,0,0,0,0,0,0"
"A0A8D0YYD5,0,0,0,0,0,0"
"P50441,0,0,0,0,0,0"
"P00795,0,0,0,0,0,0"
"I3LJI1,0,0,0,0,0,0"
"K7GK90,0,0,0,0,0,0"
"A0A900RBU1,0,0,0,0,0,0"
"P80928,0,0,0,0,0,0"
"I3LHC8,0,0,0,0,0,0"
"F1S8J6,0,0,0,0,0,0"
"A0A8X9AEY3,0,0,0,0,0,0"
"A0A4X1TPT1,0,0,0,0,0,0"
"A0A4X1W7C3,0,0,0,0,0,0"
"A0A286ZN52,0,0,0,0,0,0"
"0,0,0,0,0,0,0"
"I3LSA5,0,0,0,0,0,0"
"F1S573,0,0,0,0,0,0"
"P09955,0,0,0,0,0,0"
"F1SCC7,0,0,0,0,0,0"
"A0A286ZNH3,0,0,0,0,0,0"
"M3TYG7,0,0,0,0,0,0"
"P00671,0,0,0,0,0,0"
"A0A287AL10,0,0,0,0,0,0"
"A0A8W4FLG3,0,0,0,0,0,0"
"A1E295,0,0,0,0,0,0"
"A0A287A4Z2,0,0,0,0,0,0"
"A0A5G2QCN4,0,0,0,0,0,0"
"Q4FAT7,0,0,0,0,0,0"
"F2Z5C1,0,0,0,0,0,0"
"A0A4X1U3C8,0,0,0,0,0,0"
"A0A8W4F6P2,0,0,0,0,0,0"
"A0A5G2QIE9,0,0,0,0,0,0"
"A0A287BNY8,0,0,0,0,0,0"
"A0A8W4FA34,0,0,0,0,0,0"
"Q85ZW4,0,0,0,0,0,0"
"Q7YQ94,0,0,0,0,0,0"
"A0A4X1VTR6,0,0,0,0,0,0"
"A0A8D0VIH6,0,0,0,0,0,0"
